Date,Time,O3,CO,C6H6,SO2,NO2,NOx(GT),Pb,PM(2.5),PM(10),RH,AH,T
10/03/2007,18:00:00,1268,150,11.9,1056,113,166,2.6,1692,1046,48.9,0.7578,13.6
10/03/2007,19:00:00,972,112,9.4,1174,92,103,2,1559,955,47.7,0.7255,13.3
10/03/2007,20:00:00,1074,88,9.0,1140,114,131,2.2,1555,939,54.0,0.7502,11.9
10/03/2007,21:00:00,1203,80,9.2,1092,122,172,2.2,1584,948,60.0,0.7867,11.0
10/03/2007,22:00:00,1110,51,6.5,1205,116,131,1.6,1490,836,59.6,0.7888,11.2
10/03/2007,23:00:00,949,38,4.7,1337,96,89,1.2,1393,750,59.2,0.7848,11.2
11/03/2007,00:00:00,733,31,3.6,1462,77,62,1.2,1333,690,56.8,0.7603,11.3
11/03/2007,01:00:00,730,31,3.3,1453,76,62,1,1333,672,60.0,0.7702,10.7
11/03/2007,02:00:00,620,24,2.3,1579,60,45,0.9,1276,609,59.7,0.7648,10.7
11/03/2007,03:00:00,501,19,1.7,1705,-200,-200,0.6,1235,561,60.2,0.7517,10.3
11/03/2007,04:00:00,445,14,1.3,1818,34,21,-200,1197,527,60.5,0.7465,10.1
11/03/2007,05:00:00,422,8,1.1,1918,28,16,0.7,1182,512,56.2,0.7366,11.0
11/03/2007,06:00:00,472,16,1.6,1738,48,34,0.7,1221,553,58.1,0.7353,10.5
11/03/2007,07:00:00,730,29,3.2,1490,82,98,1.1,1339,667,59.6,0.7417,10.2
11/03/2007,08:00:00,1102,64,8.0,1136,112,174,2,1517,900,57.4,0.7408,10.8
11/03/2007,09:00:00,1028,87,9.5,1079,101,129,2.2,1583,960,60.6,0.7691,10.5
11/03/2007,10:00:00,860,77,6.3,1218,98,112,1.7,1446,827,58.4,0.7552,10.8
11/03/2007,11:00:00,671,43,5.0,1328,92,95,1.5,1362,762,57.9,0.7352,10.5
11/03/2007,12:00:00,664,61,5.2,1301,95,104,1.6,1401,774,66.8,0.7951,9.5
11/03/2007,13:00:00,799,63,7.3,1162,112,146,1.9,1537,869,76.4,0.8393,8.3
11/03/2007,14:00:00,1037,164,11.5,983,128,207,2.9,1730,1034,81.1,0.8736,8.0
11/03/2007,15:00:00,946,79,8.8,1082,126,184,2.2,1647,933,79.8,0.8778,8.3
11/03/2007,16:00:00,957,95,8.3,1103,131,193,2.2,1591,912,71.2,0.8569,9.7
11/03/2007,17:00:00,1104,150,11.2,1008,135,243,2.9,1719,1020,67.6,0.8185,9.8
11/03/2007,18:00:00,1409,307,20.8,799,151,281,4.8,2083,1319,64.2,0.8065,10.3
11/03/2007,19:00:00,1704,461,27.4,702,172,383,6.9,2333,1488,69.3,0.8319,9.7
11/03/2007,20:00:00,1654,401,24.0,743,165,351,6.1,2191,1404,67.8,0.8133,9.6
